ID,Name,Gender,Race,Height,Publisher,Alignment,Weight,Manipulative,Resourceful,Dismissive,Intelligent,Trusting,Loyal,Stubborn,Brave,HouseID,House,STR,DEX,CON,INT,WIS,CHA,Level,HP
A001,A-Bomb,Male,Human,203,Marvel Comics,good,441,10,10,7,6,7,7,7,9,1,Slytherin,18,11,17,12,13,11,1,7
A002,Abe Sapien,Male,Icthyo Sapien,191,Dark Horse Comics,good,65,7,7,6,8,6,7,6,9,1,Slytherin,16,17,10,13,15,11,8,72
A004,Abomination,Male,Human / Radiation,203,Marvel Comics,bad,441,6,8,1,6,3,3,5,2,1,Slytherin,13,14,13,10,18,15,15,135
A009,Agent 13,Female,NA,173,Marvel Comics,good,61,7,7,1,9,7,4,6,6,1,Slytherin,15,18,16,16,17,10,14,140
A015,Alex Mercer,Male,Human,NA,Wildstorm,bad,NA,10,6,8,3,4,4,1,8,1,Slytherin,14,17,13,12,10,11,9,72
A016,Alex Woolsly,Male,NA,NA,NBC - Heroes,good,NA,8,10,5,5,6,7,7,6,1,Slytherin,14,14,11,13,12,12,1,8
A024,Angel,Male,Vampire,NA,Dark Horse Comics,good,NA,8,6,8,7,4,1,5,2,1,Slytherin,15,17,15,18,13,18,11,88
A025,Angel Dust,Female,Mutant,165,Marvel Comics,good,57,9,8,9,4,1,6,5,4,1,Slytherin,8,17,12,15,17,18,1,8
A028,Animal Man,Male,Human,183,DC Comics,good,83,7,6,6,5,8,3,3,2,1,Slytherin,10,17,15,18,13,14,8,56
A032,Anti-Monitor,Male,God / Eternal,61,DC Comics,bad,NA,7,7,7,1,9,1,6,5,1,Slytherin,8,10,11,16,12,11,7,63
A033,Anti-Spawn,Male,NA,NA,Image Comics,bad,NA,6,7,5,6,9,8,6,3,1,Slytherin,9,10,13,15,13,17,7,49
A036,Aquababy,Male,NA,NA,DC Comics,good,NA,6,6,6,2,3,6,7,5,1,Slytherin,13,14,12,17,12,11,3,30
A039,Arachne,Female,Human,175,Marvel Comics,good,63,9,7,9,8,6,3,2,5,1,Slytherin,10,14,15,17,12,16,12,84
A040,Archangel,Male,Mutant,183,Marvel Comics,good,68,7,6,3,9,4,7,2,8,1,Slytherin,16,14,14,13,10,12,4,36
A041,Arclight,Female,NA,173,Marvel Comics,bad,57,7,8,1,7,7,7,3,5,1,Slytherin,11,16,18,14,15,14,14,140
A044,Ariel,Female,NA,165,Marvel Comics,good,59,6,6,6,6,8,8,1,7,1,Slytherin,11,13,10,13,10,10,14,140
A051,Atom,Male,NA,NA,DC Comics,good,NA,6,6,6,3,6,7,6,2,1,Slytherin,9,11,15,12,14,13,12,72
